mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:flatNS,,,PR8_x1,holdout,3,1009,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,3.8881,5.7219,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:flatNS,,,PR8_x1,holdout,3,1011,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,3.3374,6.244,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x1,holdout,3,1013,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,3.1301,1.0793,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x1,holdout,3,1015,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,3.6993,4.8452,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x1,holdout,3,1017,headon,vfield,e12e91e418,ok,1,0,1,0,0,0,1.6789,0.8832,2.7258,2.0438,1.555,1,1,19.76,8450,3.44
grid2:flatNS,,,PR8_x1,holdout,3,1019,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,2.3933,1.4413,2.7258,2.0438,1.555,1,1,,8450,3.51
grid2:flatNS,,,PR8_x1,holdout,3,1021,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,2.2779,5.1092,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:flatNS,,,PR8_x1,holdout,3,1023,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,4.1297,5.7514,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:flatNS,,,PR8_x1,holdout,3,1025,headon,vfield,e12e91e418,ok,1,0,1,0,0,0,1.6682,0.6985,2.7258,2.0438,1.555,1,1,4.81,8450,3.43
grid2:flatNS,,,PR8_x1,holdout,3,1027,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,5.378,5.843,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x1,holdout,3,1029,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,4.7455,5.7948,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:flatNS,,,PR8_x1,holdout,3,1031,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,3.1278,5.8319,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x1,holdout,3,1033,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,4.7179,6.1335,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x1,holdout,3,1035,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,2.7175,1.1063,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:flatNS,,,PR8_x1,holdout,3,1037,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,5.126,5.8377,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x1,holdout,3,1039,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,5.9862,2.3596,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x1,holdout,3,1041,headon,vfield,e12e91e418,ok,1,0,0,0,1,0,0.8446,2.7287,2.7258,2.0438,1.555,1,1,0.89,8450,3.45
grid2:flatNS,,,PR8_x1,holdout,3,1043,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,5.1917,5.6805,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:flatNS,,,PR8_x1,holdout,3,1045,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,5.4371,6.2199,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:flatNS,,,PR8_x1,holdout,3,1047,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,1.7535,5.6939,2.7258,2.0438,1.555,1,1,,8450,3.65
grid2:flatNS,,,PR8_x1,holdout,3,1049,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,1.1511,1.1344,2.7258,2.0438,1.555,1,1,,8450,4.06
grid2:flatNS,,,PR8_x1,holdout,3,1051,headon,vfield,e12e91e418,ok,1,0,1,0,0,0,4.0043,0.5517,2.7258,2.0438,1.555,1,1,4.73,8450,3.56
grid2:flatNS,,,PR8_x1,holdout,3,1053,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,1.8862,2.0985,2.7258,2.0438,1.555,1,1,,8450,3.5
grid2:flatNS,,,PR8_x1,holdout,3,1055,headon,vfield,e12e91e418,ok,1,0,1,0,0,0,3.6357,0.0867,2.7258,2.0438,1.555,1,1,11.89,8450,3.49
grid2:flatNS,,,PR8_x1,holdout,3,1057,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,1.801,6.2521,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:flatNS,,,PR8_x1,holdout,3,1059,headon,vfield,e12e91e418,ok,0,0,0,0,0,0,5.7627,4.3892,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:flatNS,,,PR8_x1.25,holdout,3,1001,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.9965,5.7076,2.7258,2.0438,1.555,1,1,,8450,3.62
grid2:flatNS,,,PR8_x1.25,holdout,3,1003,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,3.4061,5.875,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x1.25,holdout,3,1005,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,1.547,5.8834,2.7258,2.0438,1.555,1,1,,8450,3.5
grid2:flatNS,,,PR8_x1.25,holdout,3,1007,headon,vfield,c46769dc19,ok,1,0,1,0,0,0,2.6831,0.5751,2.7258,2.0438,1.555,1,1,5.0,8450,3.47
grid2:flatNS,,,PR8_x1.25,holdout,3,1009,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,3.0728,4.3215,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:flatNS,,,PR8_x1.25,holdout,3,1011,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.7482,6.1363,2.7258,2.0438,1.555,1,1,,8450,3.55
grid2:flatNS,,,PR8_x1.25,holdout,3,1013,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,1.2935,5.2051,2.7258,2.0438,1.555,1,1,,8450,3.64
grid2:flatNS,,,PR8_x1.25,holdout,3,1015,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,4.1854,5.0079,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x1.25,holdout,3,1017,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.1942,5.7002,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x1.25,holdout,3,1019,headon,vfield,c46769dc19,ok,2,1,1,0,0,0,1.0313,0.1812,2.7258,2.0438,1.555,1,1,5.41,8450,3.48
grid2:flatNS,,,PR8_x1.25,holdout,3,1021,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.2993,5.8725,2.7258,2.0438,1.555,1,1,,8450,3.5
grid2:flatNS,,,PR8_x1.25,holdout,3,1023,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.3259,6.0437,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:flatNS,,,PR8_x1.25,holdout,3,1025,headon,vfield,c46769dc19,ok,3,0,1,2,0,0,0.3803,0.0128,2.7258,2.0438,1.555,1,1,-30.64,8450,3.53
grid2:flatNS,,,PR8_x1.25,holdout,3,1027,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,3.2322,5.4937,2.7258,2.0438,1.555,1,1,,8450,3.5
grid2:flatNS,,,PR8_x1.25,holdout,3,1029,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.3302,6.4434,2.7258,2.0438,1.555,1,1,,8450,3.53
grid2:flatNS,,,PR8_x1.25,holdout,3,1031,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.1485,6.1632,2.7258,2.0438,1.555,1,1,,8450,3.69
grid2:flatNS,,,PR8_x1.25,holdout,3,1033,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,4.7989,5.8131,2.7258,2.0438,1.555,1,1,,8450,3.75
grid2:flatNS,,,PR8_x1.25,holdout,3,1035,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,2.3689,1.2395,2.7258,2.0438,1.555,1,1,,8450,3.57
grid2:flatNS,,,PR8_x1.25,holdout,3,1037,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,1.8074,5.886,2.7258,2.0438,1.555,1,1,,8450,3.51
grid2:flatNS,,,PR8_x1.25,holdout,3,1039,headon,vfield,c46769dc19,ok,0,0,0,0,0,0,3.1709,1.8931,2.7258,2.0438,1.555,1,1,,8450,3.51
